,Jumlah Hari Hujan (hari),Tekanan Udara (mb),Penyinaran Matahari (%),Suhu (?C),Kecepatan Angin (m/det),Kelembaban
0,0.07302134980058718,0.4560092602484363,0.025451242738716125,0.013215277794993168,0.002389612841365559,0.03870221435270738
1,0.1081798607103499,0.45097238195915307,0.021428077356178955,0.01312836584499622,0.0008688386158306738,0.038113899334258
2,0.0904102387081227,0.4546360568679441,0.016237314804209445,0.013372162881376722,0.0002475417940514198,0.026827092486856118
3,0.10163407380919726,0.45227136188937117,0.020442726536431945,0.013049626165941252,0.0026100674717589767,0.03599378991738783
4,0.10046407399992911,0.4520199647550444,0.026087397848228323,0.012973583691905044,0.002652734076395041,0.03977011693178584
5,0.10415865302466082,0.4513271899669298,0.02600814753894243,0.013150771159653438,0.0013006999712934795,0.0408289269411135
6,0.0887921366989598,0.4537646642738589,0.028734880519243732,0.013131586561344432,0.0018515013371558544,0.03908992753653122
7,0.05771287443113414,0.45757426448920496,0.027608467366560155,0.01312149870541572,0.001958542546838779,0.03807528562793305
8,0.10239240667112978,0.45170819193347,0.026477907068424837,0.013217158651978317,0.0016401794233508302,0.03929585566584303
9,0.09867458132026687,0.4524592127296052,0.01926575782009463,0.012941287617745061,0.0032837818158167296,0.04136184626190416
10,0.08858449218224343,0.4539310315820644,0.029529900973140694,0.013822550373700688,0.0011640778573647691,0.03602233350807961
11,0.11242771441504051,0.44962592201707974,0.032022568960261726,0.012287650422197234,0.0015754177864710892,0.03988943979554858
12,0.08427667563752451,0.45434431041537005,0.03275954548295265,0.01344754837153968,0.005000611687144984,0.0363964402855317
13,0.08369243255254616,0.4550843793761174,0.011299815477034498,0.01282932697459566,0.0004934626872821108,0.038668187918953864
14,0.08850859152677816,0.45382704216873804,0.033474377391805636,0.013089436659610576,0.003489213044241679,0.034636104107106935
15,0.08011371664066053,0.4549006118095137,0.029672694570784527,0.013136916510574666,0.0011677925629771087,0.039392621714449634
16,0.08426100381567468,0.45404045571781315,0.0349352693486304,0.013008243881362574,0.002912449455432212,0.03978258113143495
17,0.08849444354576365,0.45361066020694946,0.032936599322516164,0.013087333571421809,0.003391746114194607,0.03879193926569129
18,0.06821609758617683,0.45616411395899426,0.03575630556357575,0.013175663150118764,0.00429451233002842,0.03668231907429183
19,0.09450507469995692,0.452560891925752,0.03321192092597355,0.012863368050383876,0.0014024737066061677,0.04098731699947004
20,0.10490470546076373,0.4512153466553571,0.028546775453870583,0.013045587110440033,0.0018393744044961362,0.03883415473842136
21,0.0978755082738055,0.4521699043729491,0.02976045367434516,0.013645025028185981,0.002668743531617904,0.04116610704761842
22,0.11042592049719667,0.45057025808001033,0.01862152356365706,0.013103022365677841,0.0015839711541821002,0.039434853565015186
23,0.0887921366989598,0.4537646642738589,0.028734880519243732,0.013131586561344432,0.0018515013371558544,0.03908992753653122
24,0.1304809300590851,0.44619321231866604,0.025812159932059778,0.012409069357488058,0.002139601278690438,0.04015541478364528
