,Jumlah Hari Hujan (hari),Tekanan Udara (mb),Penyinaran Matahari (%),Suhu (?C),Kecepatan Angin (m/det),Kelembaban
0,1.971153846153846,4.703663793103445,2.3572003218020923,3.445065176908752,1.259124087591241,2.8899082568807355
1,3.7740384615384617,4.5579645896988055,1.729686242960579,3.538175046554933,0.4509906152241919,2.844036697247706
2,2.767214640198511,3.7015086206896513,0.7964601769911501,3.3626806213610507,0.11209593326381648,0.0
3,3.4375,4.665948275862071,1.5607401448109413,3.351955307262571,1.3894681960375395,2.327981651376147
4,3.3894230769230766,4.74676724137931,2.5100563153660502,3.2588454376163867,1.415537017726799,3.2454128440366983
5,3.581730769230769,4.714439655172413,2.50201126307321,3.6312849162011176,0.6856100104275288,3.5091743119266052
6,2.767214640198511,4.5579645896988055,2.9139331198105634,3.3626806213610507,0.974531253074154,3.0096202854230416
7,1.2019230769230769,4.703663793103445,2.695092518101368,3.1657355679702057,1.0245046923879042,2.706422018348624
8,3.4855769230769234,4.692887931034484,2.5744167337087696,3.7243947858472986,0.8680917622523462,3.1307339449541285
9,3.293269230769231,4.741379310344826,1.3676588897827837,3.1657355679702057,1.7544316996871743,3.612385321100918
10,2.767214640198511,4.709051724137929,3.0571198712791636,4.748603351955307,0.6074035453597497,2.305045871559633
11,3.533653846153846,0.0,3.065164923572003,0.0,0.7638164754953076,2.5
12,2.5480769230769225,4.714439655172413,3.588093322606597,4.003724394785845,2.666840458811262,2.385321100917432
13,2.4519230769230766,3.938577586206897,0.0,2.420856610800744,0.2424400417101147,2.7752293577981657
14,2.767214640198511,4.741379310344826,3.716814159292035,3.3626806213610507,1.858706986444213,1.9839449541284395
15,2.331730769230769,4.671336206896548,3.065164923572003,3.351955307262571,0.6074035453597497,3.0733944954128436
16,2.5480769230769225,4.682112068965516,3.950120675784393,3.1657355679702057,1.5458811261730971,3.1880733944954134
17,2.767214640198511,4.719827586206897,3.6283185840707963,3.3626806213610507,1.8065693430656937,2.970183486238531
18,1.7307692307692306,4.6875,4.054706355591311,3.351955307262571,2.2758081334723674,2.408256880733946
19,3.0769230769230766,4.676724137931032,3.684633950120676,2.9795158286778403,0.7377476538060479,3.5091743119266052
20,3.605769230769231,4.5579645896988055,2.9139331198105634,3.3626806213610507,0.974531253074154,3.0096202854230416
21,3.052884615384615,2.47306034482758,2.9139331198105634,3.445065176908752,1.3633993743482795,3.1651376146788994
22,3.918269230769231,4.806034482758619,1.2791633145615446,3.6312849162011176,0.8420229405630865,3.2110091743119273
23,2.767214640198511,4.5579645896988055,2.9139331198105634,3.3626806213610507,0.974531253074154,3.0096202854230416
24,5.0,4.703663793103445,2.52614641995173,2.5139664804469284,1.1548488008342024,3.4747706422018343
25,2.767214640198511,4.730603448275858,2.5341914722445695,3.9106145251396676,0.4509906152241919,2.511467889908257
26,2.596153846153846,4.779094827586199,3.3065164923572006,3.1657355679702057,1.0245046923879042,3.0733944954128436
